DEBUG:pygls.protocol:Added decorator for lsp method: bf_initialize
INFO:root:building module misc from file.
INFO:root:building module structured_arrays from file.
INFO:root:building module subclassing from file.
INFO:root:building module ufuncs from file.
INFO:root:building module __init__ from file.
INFO:root:building module __main__ from file.
INFO:root:building module __version__ from file.
INFO:root:building module auxfuncs from file.
INFO:root:building module capi_maps from file.
INFO:root:building module cb_rules from file.
INFO:root:building module cfuncs from file.
INFO:root:building module common_rules from file.
INFO:root:building module crackfortran from file.
INFO:root:building module diagnose from file.
INFO:root:building module f2py2e from file.
INFO:root:building module f2py_testing from file.
INFO:root:building module f90mod_rules from file.
INFO:root:building module func2subr from file.
INFO:root:building module rules from file.
INFO:root:building module setup from file.
INFO:root:building module use_rules from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_array_from_pyobj from file.
INFO:root:building module test_assumed_shape from file.
INFO:root:building module test_block_docstring from file.
INFO:root:building module test_callback from file.
INFO:root:building module test_common from file.
INFO:root:building module test_compile_function from file.
INFO:root:building module test_crackfortran from file.
INFO:root:building module test_kind from file.
INFO:root:building module test_mixed from file.
INFO:root:building module test_parameter from file.
INFO:root:building module test_quoted_character from file.
INFO:root:building module test_regression from file.
INFO:root:building module test_return_character from file.
INFO:root:building module test_return_complex from file.
INFO:root:building module test_return_integer from file.
INFO:root:building module test_return_logical from file.
INFO:root:building module test_return_real from file.
INFO:root:building module test_semicolon_split from file.
INFO:root:building module test_size from file.
INFO:root:building module test_string from file.
INFO:root:building module util from file.
INFO:root:building module __init__ from file.
INFO:root:building module _pocketfft from file.
INFO:root:building module helper from file.
INFO:root:building module setup from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_helper from file.
INFO:root:building module test_pocketfft from file.
INFO:root:building module __init__ from file.
INFO:root:building module _datasource from file.
INFO:root:building module _iotools from file.
INFO:root:building module _version from file.
INFO:root:building module arraypad from file.
INFO:root:building module arraysetops from file.
INFO:root:building module arrayterator from file.
INFO:root:building module financial from file.
INFO:root:building module format from file.
INFO:root:building module function_base from file.
INFO:root:building module histograms from file.
INFO:root:building module index_tricks from file.
INFO:root:building module mixins from file.
INFO:root:building module nanfunctions from file.
INFO:root:building module npyio from file.
INFO:root:building module polynomial from file.
INFO:root:building module recfunctions from file.
INFO:root:building module scimath from file.
INFO:root:building module setup from file.
INFO:root:building module shape_base from file.
INFO:root:building module stride_tricks from file.
INFO:root:building module twodim_base from file.
INFO:root:building module type_check from file.
INFO:root:building module ufunclike from file.
INFO:root:building module user_array from file.
INFO:root:building module utils from file.
INFO:root:building module __init__ from file.
INFO:root:building module test__datasource from file.
INFO:root:building module test__iotools from file.
INFO:root:building module test__version from file.
INFO:root:building module test_arraypad from file.
INFO:root:building module test_arraysetops from file.
INFO:root:building module test_arrayterator from file.
INFO:root:building module test_financial from file.
INFO:root:building module test_format from file.
INFO:root:building module test_function_base from file.
INFO:root:building module test_histograms from file.
INFO:root:building module test_index_tricks from file.
INFO:root:building module test_io from file.
INFO:root:building module test_mixins from file.
INFO:root:building module test_nanfunctions from file.
INFO:root:building module test_packbits from file.
INFO:root:building module test_polynomial from file.
INFO:root:building module test_recfunctions from file.
INFO:root:building module test_regression from file.
INFO:root:building module test_shape_base from file.
INFO:root:building module test_stride_tricks from file.
INFO:root:building module test_twodim_base from file.
INFO:root:building module test_type_check from file.
INFO:root:building module test_ufunclike from file.
INFO:root:building module test_utils from file.
INFO:root:building module __init__ from file.
INFO:root:building module linalg from file.
INFO:root:building module setup from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_build from file.
INFO:root:building module test_deprecations from file.
INFO:root:building module test_linalg from file.
INFO:root:building module test_regression from file.
INFO:root:building module __init__ from file.
INFO:root:building module bench from file.
INFO:root:building module core from file.
INFO:root:building module extras from file.
INFO:root:building module mrecords from file.
INFO:root:building module setup from file.
INFO:root:building module testutils from file.
INFO:root:building module timer_comparison from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_core from file.
INFO:root:building module test_deprecations from file.
INFO:root:building module test_extras from file.
INFO:root:building module test_mrecords from file.
INFO:root:building module test_old_ma from file.
INFO:root:building module test_regression from file.
INFO:root:building module test_subclassing from file.
INFO:root:building module __init__ from file.
INFO:root:building module defmatrix from file.
INFO:root:building module setup from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_defmatrix from file.
INFO:root:building module test_interaction from file.
INFO:root:building module test_masked_matrix from file.
INFO:root:building module test_matrix_linalg from file.
INFO:root:building module test_multiarray from file.
INFO:root:building module test_numeric from file.
INFO:root:building module test_regression from file.
INFO:root:building module __init__ from file.
INFO:root:building module _polybase from file.
INFO:root:building module chebyshev from file.
INFO:root:building module hermite from file.
INFO:root:building module hermite_e from file.
INFO:root:building module laguerre from file.
INFO:root:building module legendre from file.
INFO:root:building module polynomial from file.
INFO:root:building module polyutils from file.
INFO:root:building module setup from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_chebyshev from file.
INFO:root:building module test_classes from file.
INFO:root:building module test_hermite from file.
INFO:root:building module test_hermite_e from file.
INFO:root:building module test_laguerre from file.
INFO:root:building module test_legendre from file.
INFO:root:building module test_polynomial from file.
INFO:root:building module test_polyutils from file.
INFO:root:building module test_printing from file.
INFO:root:building module __init__ from file.
INFO:root:building module _pickle from file.
INFO:root:building module setup from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_direct from file.
INFO:root:building module test_extending from file.
INFO:root:building module test_generator_mt19937 from file.
INFO:root:building module test_generator_mt19937_regressions from file.
INFO:root:building module test_random from file.
INFO:root:building module test_randomstate from file.
INFO:root:building module test_randomstate_regression from file.
INFO:root:building module test_regression from file.
INFO:root:building module test_seed_sequence from file.
INFO:root:building module test_smoke from file.
INFO:root:building module __init__ from file.
INFO:root:building module __init__ from file.
INFO:root:building module print_coercion_tables from file.
INFO:root:building module setup from file.
INFO:root:building module utils from file.
INFO:root:building module __init__ from file.
INFO:root:building module decorators from file.
INFO:root:building module noseclasses from file.
INFO:root:building module nosetester from file.
INFO:root:building module parameterized from file.
INFO:root:building module utils from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_decorators from file.
INFO:root:building module test_doctesting from file.
INFO:root:building module test_utils from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_ctypeslib from file.
INFO:root:building module test_matlib from file.
INFO:root:building module test_numpy_version from file.
INFO:root:building module test_public_api from file.
INFO:root:building module test_reloading from file.
INFO:root:building module test_scripts from file.
INFO:root:building module test_warnings from file.
INFO:root:building project numpy
